교시,월(22),화(23),수(24),목(25),금(26),월(29),화(30),수(31),목(1),금(2)
1(08:40),자율,영Ⅱ,공강,,화Ⅰ,자율,영Ⅱ,공강,,
,김아,윤재,강항,,이상,김아,윤재,강항,,
2(09:40),운건,문학,생Ⅰ,,확통,운건,문학,,,
,정성,김다,김장,,박래,정성,김다,,,
3(10:40),화Ⅰ,생Ⅰ,문학,,문학,화Ⅰ,생Ⅰ,,,
,이상,김장,김다,,김다,이상,김장,,,
4(11:40),확통,공학,운건,,수Ⅱ,확통,공학,,,
,박래,강소,정성,,김아,박래,강소,,,
5(13:30),문학,공강,수Ⅱ,,영Ⅱ,문학,공강,,,
,김다,정태,김아,,윤재,김다,정태,,,
6(14:30),영Ⅱ,음감비,음감비,,공학,영Ⅱ,음감비,,,
,윤재,강태,강태,,강소,윤재,강태,,,
7(15:30),생Ⅰ,수Ⅱ,,,화Ⅰ,생Ⅰ,수Ⅱ,,,
,김장,김아,,,이상,김장,김아,,,
8(16:30),,,,,,,,,,
